gene name,1
ENST00000455537.2,ENSG00000155980.6
ENST00000381072.1,ENSG00000067057.11
ENST00000314888.9,ENSG00000137076.12
ENST00000375793.2,ENSG00000116786.7
ENST00000338779.6,ENSG00000132613.10
ENST00000263431.3,ENSG00000126583.6
ENST00000371753.1,ENSG00000148411.3
ENST00000332499.2,ENSG00000186834.2
ENST00000433425.2,ENSG00000196972.6
ENST00000402194.2,ENSG00000196235.8
ENST00000371941.3,ENSG00000124126.9
ENST00000396045.3,ENSG00000155849.11
ENST00000346365.4,ENSG00000164978.12
ENST00000239007.7,ENSG00000119950.15
ENST00000391952.3,ENSG00000104859.10
ENST00000333651.6,ENSG00000064961.14
ENST00000371464.3,ENSG00000138207.7
ENST00000227214.6,ENSG00000021300.7
ENST00000397853.3,ENSG00000165795.14
ENST00000005284.3,ENSG00000006116.3
ENST00000373279.4,ENSG00000171224.7
ENST00000294868.4,ENSG00000157064.6
ENST00000436108.2,ENSG00000177830.13
ENST00000340888.3,ENSG00000130822.10
ENST00000274710.3,ENSG00000146005.3
ENST00000216951.2,ENSG00000100983.5
ENST00000341322.4,ENSG00000185658.9
ENST00000281243.5,ENSG00000151552.7
ENST00000530617.1,ENSG00000149269.5
ENST00000361906.3,ENSG00000198792.7
ENST00000233535.4,ENSG00000115194.6
ENST00000278947.5,ENSG00000149575.5
ENST00000340006.2,ENSG00000159176.9
ENST00000264051.3,ENSG00000066248.10
ENST00000375799.3,ENSG00000116786.7
ENST00000358797.4,ENSG00000112664.4
ENST00000367467.3,ENSG00000111961.12
ENST00000457543.3,ENSG00000236609.3
ENST00000399813.1,ENSG00000182902.8
ENST00000302424.5,ENSG00000171206.7
ENST00000333063.5,ENSG00000184221.8
ENST00000420983.2,ENSG00000089169.9
ENST00000368089.3,ENSG00000177807.5
ENST00000307677.4,ENSG00000171552.8
ENST00000289104.4,ENSG00000158186.8
ENST00000320389.7,ENSG00000130294.10
ENST00000300022.3,ENSG00000166793.6
ENST00000264828.3,ENSG00000080573.6
ENST00000442253.2,ENSG00000170915.8
ENST00000379449.5,ENSG00000198363.10
ENST00000301457.1,ENSG00000167774.1
ENST00000588081.1,ENSG00000266964.1
ENST00000300571.2,ENSG00000167191.7
ENST00000270221.5,ENSG00000142227.5
ENST00000435030.1,ENSG00000168280.12
ENST00000393537.4,ENSG00000213337.4
ENST00000368402.5,ENSG00000111907.16
ENST00000278833.3,ENSG00000149489.4
ENST00000380715.1,ENSG00000164985.9
ENST00000330675.7,ENSG00000133069.10
ENST00000372262.3,ENSG00000149654.5
ENST00000341272.2,ENSG00000148180.10
ENST00000551109.1,ENSG00000161642.13
ENST00000375486.4,ENSG00000117115.8
ENST00000370963.4,ENSG00000170899.6
ENST00000355653.3,ENSG00000108828.11
ENST00000262811.4,ENSG00000099308.4
ENST00000361427.5,ENSG00000198830.6
ENST00000407025.1,ENSG00000115685.10
ENST00000288670.9,ENSG00000157827.15
ENST00000338663.7,ENSG00000168003.12
ENST00000372677.3,ENSG00000133134.7
ENST00000355527.3,ENSG00000172893.10
ENST00000367075.3,ENSG00000092820.13
ENST00000272117.3,ENSG00000143772.5
ENST00000356994.2,ENSG00000180900.12
ENST00000367103.3,ENSG00000162889.6
ENST00000295006.5,ENSG00000162909.13
ENST00000396593.2,ENSG00000153048.6
ENST00000443527.2,ENSG00000121671.7
ENST00000216068.4,ENSG00000100246.7
ENST00000252699.2,ENSG00000130402.7
ENST00000309007.5,ENSG00000113758.9
ENST00000548013.1,ENSG00000257727.1
ENST00000294117.5,ENSG00000162188.5
ENST00000397274.2,ENSG00000099331.8
ENST00000523562.1,ENSG00000102878.10
ENST00000278927.5,ENSG00000149564.7
ENST00000373703.4,ENSG00000162517.8
ENST00000256997.3,ENSG00000134575.5
ENST00000477892.1,ENSG00000114023.11
ENST00000356341.3,ENSG00000149269.5
ENST00000238609.3,ENSG00000119632.3
ENST00000409753.3,ENSG00000189159.10
ENST00000261799.4,ENSG00000113721.8
ENST00000221801.2,ENSG00000105202.2
ENST00000370179.3,ENSG00000125534.4
ENST00000527446.1,ENSG00000149273.8
ENST00000392351.2,ENSG00000051128.13
ENST00000428277.2,ENSG00000021645.13
ENST00000397858.1,ENSG00000165795.14
ENST00000357394.4,ENSG00000125991.13
ENST00000378585.4,ENSG00000187730.6
ENST00000548410.1,ENSG00000257499.1
ENST00000315491.7,ENSG00000258947.2
ENST00000299421.4,ENSG00000166333.9
ENST00000396448.2,ENSG00000109180.10
ENST00000256001.8,ENSG00000133627.12
ENST00000533498.1,ENSG00000172809.8
ENST00000275364.3,ENSG00000146535.8
ENST00000360997.2,ENSG00000168309.12
ENST00000221459.2,ENSG00000104863.5
ENST00000528586.1,ENSG00000172375.8
ENST00000326181.6,ENSG00000131653.8
ENST00000294889.5,ENSG00000162817.6
ENST00000216121.7,ENSG00000184117.7
ENST00000485535.1,ENSG00000164050.8
ENST00000222305.2,ENSG00000105698.9
ENST00000350811.3,ENSG00000058404.15
ENST00000422318.2,ENSG00000168268.6
ENST00000296233.3,ENSG00000163884.3
ENST00000253083.4,ENSG00000130787.9
ENST00000574593.1,ENSG00000167978.11
ENST00000355857.3,ENSG00000155368.12
ENST00000314392.8,ENSG00000136908.13
ENST00000373467.3,ENSG00000121905.5
ENST00000543561.1,ENSG00000172824.10
ENST00000219479.2,ENSG00000103202.7
ENST00000396884.2,ENSG00000100146.12
ENST00000252818.3,ENSG00000130522.3
ENST00000305958.4,ENSG00000088826.12
ENST00000306960.3,ENSG00000168539.3
ENST00000268171.3,ENSG00000140564.6
ENST00000259229.2,ENSG00000136710.5
ENST00000460804.1,ENSG00000189410.7
ENST00000298556.7,ENSG00000165704.10
ENST00000358758.7,ENSG00000167371.12
ENST00000415912.2,ENSG00000117298.10
ENST00000223398.6,ENSG00000106665.11
ENST00000565655.1,ENSG00000103512.10
ENST00000340957.5,ENSG00000175182.9
ENST00000454243.2,ENSG00000168490.9
ENST00000361322.2,ENSG00000008118.5
ENST00000357037.5,ENSG00000177469.12
ENST00000330938.3,ENSG00000183255.7
ENST00000303177.3,ENSG00000170091.6
ENST00000357103.4,ENSG00000006831.9
ENST00000216797.5,ENSG00000100906.6
ENST00000327451.5,ENSG00000182902.8
ENST00000261692.2,ENSG00000111328.2
ENST00000264059.3,ENSG00000115468.7
ENST00000302418.4,ENSG00000170759.10
ENST00000574322.1,ENSG00000175826.7
ENST00000308418.4,ENSG00000172922.4
ENST00000380943.2,ENSG00000112851.10
ENST00000378474.3,ENSG00000165175.11
ENST00000392474.2,ENSG00000110931.13
ENST00000322048.7,ENSG00000067836.8
ENST00000377086.1,ENSG00000054523.12
ENST00000431231.2,ENSG00000225485.3
ENST00000544325.1,ENSG00000111676.9
ENST00000331872.6,ENSG00000135821.11
ENST00000372728.3,ENSG00000133169.5
ENST00000354287.4,ENSG00000116661.9
ENST00000413748.2,ENSG00000166922.4
ENST00000262817.3,ENSG00000105696.3
ENST00000538426.1,ENSG00000167770.7
ENST00000358295.5,ENSG00000219438.4
ENST00000383729.4,ENSG00000178467.12
ENST00000316843.4,ENSG00000131899.6
ENST00000482507.1,ENSG00000168397.12
ENST00000525655.1,ENSG00000121753.8
ENST00000586480.1,ENSG00000105376.4
ENST00000216602.6,ENSG00000100711.8
ENST00000538466.1,ENSG00000010810.11
ENST00000382125.4,ENSG00000032389.8
ENST00000247207.6,ENSG00000126803.8
ENST00000378536.4,ENSG00000157933.9
ENST00000404338.2,ENSG00000160007.12
ENST00000358435.4,ENSG00000196683.6
ENST00000257905.8,ENSG00000135447.11
ENST00000536361.1,ENSG00000116120.8
ENST00000442593.2,ENSG00000111652.4
ENST00000372748.3,ENSG00000049089.9
ENST00000360864.4,ENSG00000101152.6
ENST00000315588.4,ENSG00000063322.7
ENST00000375571.5,ENSG00000101367.8
ENST00000264833.4,ENSG00000105088.4
ENST00000545521.1,ENSG00000103495.9
ENST00000375151.4,ENSG00000158526.7
ENST00000361360.2,ENSG00000198914.2
ENST00000270459.3,ENSG00000142409.4
ENST00000368719.3,ENSG00000197956.4
ENST00000372680.1,ENSG00000204065.2
ENST00000342560.5,ENSG00000124194.11
ENST00000222374.1,ENSG00000105767.1
ENST00000360066.2,ENSG00000117266.11
ENST00000302763.7,ENSG00000044115.15
ENST00000412681.1,ENSG00000154146.6
ENST00000269298.5,ENSG00000141504.7
ENST00000318008.6,ENSG00000002834.13
ENST00000589699.1,ENSG00000166974.7
ENST00000397778.2,ENSG00000122490.13
ENST00000535717.1,ENSG00000111642.9
ENST00000374524.1,ENSG00000057757.5
ENST00000455156.2,ENSG00000078369.10
ENST00000399133.2,ENSG00000184436.7
ENST00000592957.1,ENSG00000141759.10
ENST00000373018.3,ENSG00000137218.6
ENST00000470541.1,ENSG00000116584.11
ENST00000562648.1,ENSG00000127585.7
